id,created,product,responded_in_24h,responded_in_72h,solved
1288875,2020-05-29 17:45:34 -0800,thunderbird,true,true,false
1288874,2020-05-29 17:25:17 -0800,firefox,false,false,false
1288873,2020-05-29 16:50:49 -0800,thunderbird,true,true,false
1288872,2020-05-29 16:23:30 -0800,firefox,true,true,false
1288871,2020-05-29 16:17:14 -0800,firefox,true,true,false
1288870,2020-05-29 16:14:32 -0800,firefox,true,true,true
1288869,2020-05-29 15:58:36 -0800,firefox,false,false,true
1288868,2020-05-29 15:55:48 -0800,firefox-private-network,false,true,false
1288867,2020-05-29 15:39:12 -0800,ios,false,true,false
1288866,2020-05-29 15:26:30 -0800,firefox,false,true,false
1288865,2020-05-29 15:16:56 -0800,mobile,false,false,false
1288864,2020-05-29 15:05:26 -0800,firefox,true,true,false
1288863,2020-05-29 15:04:13 -0800,firefox,true,true,false
1288862,2020-05-29 14:35:43 -0800,firefox,true,true,false
1288861,2020-05-29 14:27:14 -0800,mobile,true,true,false
1288860,2020-05-29 14:25:31 -0800,mobile,true,true,false
1288859,2020-05-29 14:24:19 -0800,firefox,false,false,false
1288858,2020-05-29 14:21:44 -0800,mobile,true,true,false
1288857,2020-05-29 14:20:25 -0800,firefox-preview,false,true,false
1288856,2020-05-29 14:13:54 -0800,firefox,true,true,false
1288855,2020-05-29 13:51:22 -0800,mobile,true,true,false
1288854,2020-05-29 13:37:13 -0800,firefox,false,false,false
1288853,2020-05-29 13:30:28 -0800,thunderbird,true,true,false
1288852,2020-05-29 13:04:29 -0800,firefox,true,true,false
1288851,2020-05-29 13:03:09 -0800,thunderbird,true,true,true
1288850,2020-05-29 12:14:17 -0800,firefox-preview,false,false,true
1288849,2020-05-29 12:05:40 -0800,thunderbird,false,false,false
1288848,2020-05-29 12:03:16 -0800,thunderbird,false,true,false
1288847,2020-05-29 12:00:35 -0800,mobile,true,true,false
1288846,2020-05-29 11:57:54 -0800,thunderbird,false,true,false
1288845,2020-05-29 11:53:53 -0800,firefox,true,true,false
1288844,2020-05-29 11:47:27 -0800,thunderbird,true,true,false
1288843,2020-05-29 11:47:06 -0800,mobile,true,true,false
1288842,2020-05-29 11:46:51 -0800,firefox,true,true,true
1288841,2020-05-29 11:43:23 -0800,firefox-lockwise,false,true,false
1288840,2020-05-29 11:21:38 -0800,ios,false,false,false
1288839,2020-05-29 11:20:11 -0800,thunderbird,true,true,false
1288838,2020-05-29 11:19:48 -0800,firefox,true,true,true
1288837,2020-05-29 11:11:36 -0800,firefox,true,true,false
1288836,2020-05-29 11:02:28 -0800,thunderbird,true,true,false
1288835,2020-05-29 10:52:36 -0800,firefox,true,true,true
1288834,2020-05-29 10:51:00 -0800,firefox,true,true,true
1288833,2020-05-29 10:50:58 -0800,mobile,true,true,false
1288832,2020-05-29 10:46:25 -0800,firefox,true,true,false
1288831,2020-05-29 10:41:49 -0800,firefox,true,true,true
1288830,2020-05-29 10:21:11 -0800,firefox,true,true,false
1288829,2020-05-29 10:08:33 -0800,mobile,true,true,false
1288828,2020-05-29 10:06:24 -0800,ios,false,true,false
1288827,2020-05-29 10:05:23 -0800,firefox,true,true,false
1288826,2020-05-29 10:03:50 -0800,mobile,true,true,false
1288825,2020-05-29 10:01:46 -0800,thunderbird,false,true,false
1288824,2020-05-29 09:57:50 -0800,thunderbird,true,true,true
1288823,2020-05-29 09:50:58 -0800,ios,false,true,false
1288822,2020-05-29 09:47:08 -0800,thunderbird,false,true,true
1288821,2020-05-29 09:35:51 -0800,firefox,false,true,false
1288820,2020-05-29 09:21:03 -0800,firefox,true,true,false
1288819,2020-05-29 09:15:40 -0800,firefox,true,true,false
1288818,2020-05-29 09:12:38 -0800,mobile,true,true,false
1288817,2020-05-29 09:11:59 -0800,mobile,true,true,false
1288816,2020-05-29 09:03:50 -0800,thunderbird,true,true,false
1288815,2020-05-29 09:03:45 -0800,firefox-lockwise,false,true,false
1288814,2020-05-29 08:57:16 -0800,firefox,false,true,false
1288813,2020-05-29 08:52:23 -0800,firefox,true,true,false
1288812,2020-05-29 08:47:01 -0800,thunderbird,true,true,true
1288811,2020-05-29 08:42:39 -0800,firefox,true,true,false
