id,created,product
1280537,2020-02-23 17:26:13 -0800,firefox
1280536,2020-02-23 17:20:10 -0800,firefox
1280535,2020-02-23 17:00:18 -0800,mobile
1280534,2020-02-23 16:57:01 -0800,firefox
1280533,2020-02-23 16:37:17 -0800,firefox
1280532,2020-02-23 15:49:00 -0800,firefox
1280531,2020-02-23 15:34:32 -0800,firefox
1280530,2020-02-23 14:52:12 -0800,firefox
1280529,2020-02-23 14:51:36 -0800,mobile
1280528,2020-02-23 14:51:04 -0800,firefox
1280527,2020-02-23 14:22:56 -0800,firefox
1280526,2020-02-23 13:52:22 -0800,thunderbird
1280525,2020-02-23 13:42:42 -0800,firefox
1280524,2020-02-23 12:49:07 -0800,thunderbird
1280523,2020-02-23 12:38:38 -0800,firefox
1280522,2020-02-23 11:35:24 -0800,ios
1280521,2020-02-23 11:15:35 -0800,firefox
1280520,2020-02-23 11:03:51 -0800,firefox
1280519,2020-02-23 10:36:37 -0800,firefox
1280518,2020-02-23 10:35:29 -0800,firefox
1280517,2020-02-23 10:34:18 -0800,ios
1280516,2020-02-23 10:29:12 -0800,thunderbird
1280515,2020-02-23 09:53:59 -0800,firefox
1280514,2020-02-23 09:50:46 -0800,firefox
1280513,2020-02-23 09:26:03 -0800,firefox
1280512,2020-02-23 09:11:49 -0800,firefox
1280511,2020-02-23 08:24:19 -0800,thunderbird
1280510,2020-02-23 08:12:20 -0800,firefox
1280509,2020-02-23 07:40:49 -0800,thunderbird
1280508,2020-02-23 06:51:43 -0800,firefox
1280507,2020-02-23 04:29:21 -0800,firefox
1280506,2020-02-23 04:24:10 -0800,thunderbird
1280505,2020-02-23 04:22:53 -0800,firefox
1280504,2020-02-23 04:20:50 -0800,mobile
1280503,2020-02-23 03:58:48 -0800,firefox-private-network
1280502,2020-02-23 03:51:58 -0800,firefox
1280501,2020-02-23 02:47:55 -0800,mobile
1280500,2020-02-23 02:44:14 -0800,firefox
1280499,2020-02-23 02:35:09 -0800,firefox
1280498,2020-02-23 01:59:20 -0800,firefox
1280497,2020-02-23 00:58:14 -0800,mobile
1280496,2020-02-23 00:09:20 -0800,mobile
1280495,2020-02-22 21:22:12 -0800,thunderbird
1280494,2020-02-22 20:44:46 -0800,thunderbird
1280493,2020-02-22 20:13:07 -0800,firefox
1280492,2020-02-22 19:25:38 -0800,firefox
1280491,2020-02-22 19:22:59 -0800,mobile
1280490,2020-02-22 19:01:36 -0800,firefox
1280489,2020-02-22 18:15:14 -0800,firefox
1280488,2020-02-22 18:00:33 -0800,mobile
1280487,2020-02-22 17:38:30 -0800,thunderbird
1280486,2020-02-22 17:33:54 -0800,mobile
1280485,2020-02-22 16:58:21 -0800,firefox
1280484,2020-02-22 16:49:20 -0800,thunderbird
1280483,2020-02-22 16:46:17 -0800,mobile
1280482,2020-02-22 16:32:17 -0800,firefox
1280481,2020-02-22 16:25:34 -0800,mobile
1280480,2020-02-22 16:23:58 -0800,thunderbird
1280479,2020-02-22 15:44:42 -0800,firefox-preview
1280478,2020-02-22 15:38:52 -0800,firefox
1280477,2020-02-22 14:38:10 -0800,firefox
1280476,2020-02-22 14:34:45 -0800,thunderbird
1280475,2020-02-22 14:24:59 -0800,thunderbird
1280474,2020-02-22 13:57:49 -0800,firefox
1280473,2020-02-22 13:41:27 -0800,firefox
1280472,2020-02-22 13:33:35 -0800,thunderbird
1280471,2020-02-22 13:10:25 -0800,mobile
1280470,2020-02-22 12:03:10 -0800,thunderbird
1280469,2020-02-22 11:58:01 -0800,firefox
1280468,2020-02-22 11:22:15 -0800,firefox
1280467,2020-02-22 11:20:08 -0800,firefox
1280466,2020-02-22 10:38:16 -0800,thunderbird
1280465,2020-02-22 10:25:18 -0800,firefox
1280464,2020-02-22 09:57:50 -0800,mobile
1280463,2020-02-22 09:30:20 -0800,thunderbird
1280462,2020-02-22 09:12:31 -0800,firefox
1280461,2020-02-22 08:27:48 -0800,firefox
1280460,2020-02-22 08:25:54 -0800,firefox
1280459,2020-02-22 08:06:47 -0800,thunderbird
1280458,2020-02-22 08:05:02 -0800,firefox
1280457,2020-02-22 06:50:12 -0800,mobile
1280456,2020-02-22 05:40:30 -0800,firefox
1280455,2020-02-22 05:13:30 -0800,firefox
1280454,2020-02-22 05:09:21 -0800,firefox
1280453,2020-02-22 02:51:07 -0800,thunderbird
1280452,2020-02-22 02:07:38 -0800,firefox-private-network-vpn
1280451,2020-02-22 01:53:09 -0800,firefox
1280450,2020-02-22 00:56:11 -0800,thunderbird
1280449,2020-02-22 00:30:41 -0800,firefox
1280448,2020-02-21 23:30:36 -0800,thunderbird
1280447,2020-02-21 23:09:06 -0800,firefox
1280446,2020-02-21 22:14:05 -0800,firefox-preview
1280445,2020-02-21 20:29:33 -0800,firefox
